"244","IPI00003351","62232","Extracellular matrix protein 1   precursor","8","278","277","2"
"385","IPI00003590","83324","Quiescin Q6","1","34","365","2"
"299","IPI00007884","11998","Myosin-reactive immunoglobulin light chain       variable region","2","146","201","2"
"348","IPI00008558","73433","Plasma kallikrein precursor","1","75","359","2"
"314","IPI00011252","66832","Complement component C8 alpha chain       precursor","2","97","379","2"
"281","IPI00013933","334023","Splice Isoform 1 Of   Desmoplakin","3","164","299","2"
"243","IPI00019581","70055","Coagulation factor XII   precursor","8","281","256","2"
"391","IPI00021033","139724","Collagen alpha 1(III) chain   precursor","1","33","542","2"
"293","IPI00023673","66202","Galectin-3 binding protein   precursor","3","119","361","2"
"393","IPI00025465","34243","Mimecan precursor","1","32","309","2"
"334","IPI00029235","26219","Insulin-like growth factor binding protein 6       precursor","2","69","438","2"
"392","IPI00032328","72984","Splice Isoform 1 Of Kininogen   precursor","1","33","115","2"
"365","IPI00061977","55203","MGC27165 protein","1","53","140","2"
"238","IPI00163207","62748","Splice Isoform 1 Of N-acetylmuramoyl-L-alanine       amidase precursor","8","353","195","2"
"339","IPI00163563","25643","PBP family protein precursor","2","64","397","2"
"374","IPI00166205","57728","Keratin 5b","1","47","393","2"
"232","IPI00166866","56702","Similar to SNC66 protein","9","411","127","2"
"379","IPI00215983","28909","CarboniC anhydrase I","1","44","464","2"
"337","IPI00291136","109621","Collagen alpha 1(VI) chain   precursor","2","68","418","2"
"315","IPI00292218","82837","Hepatocyte growth factor-like protein       precursor","2","96","349","2"
"359","IPI00293665","60247","Keratin 6B","1","61","168","2"
"186","IPI00294193","103522","Splice Isoform 1 Of Inter-alpha-trypsin       inhibitor heavy chain H4 precursor","29","1471","95","2"
"258","IPI00296165","75398","Similar to Complement C1r component       precursor","6","199","314","2"
"223","IPI00296534","81315","Splice Isoform 1 Of Fibulin-1   precursor","11","418","208","2"
"382","IPI00297646","139825","Collagen alpha 1(I) chain   precursor","1","39","494","2"
"242","IPI00299547","22945","OTTHUMP00000043588","8","282","280","2"
"295","IPI00376964","326804","AlphA 3 type VI collAgen isoform 2 precursor","3","106","317","2"
"313","IPI00382481","12485","Ig heavy chain V-III region   BUT","2","98","247","2"
"345","IPI00385555","11947","Ig kappa chain V-I region BAN","1","91","342","2"
"319","IPI00386131","14175","Ig kappa chain V-III region IARC/BL41       precursor","2","84","377","2"
"344","IPI00386839","12401","Amyloid lambda 6 light chain variable region       SAR","1","92","296","2"
"175","IPI00414283","259943","Fibronectin 1 isoForm 4 preproprotein","53","2600","14","2"
"306","IPI00418169","40613","Hypothetical protein   DKFZp686P03159","2","113","345","2"
"206","IPI00418391","96650","Complement component 7","15","680","142","2"
"283","IPI00426007","52694","Hypothetical protein   DKFZp686G11190","3","156","25","2"
"320","IPI00430847","26033","Hypothetical protein","2","80","29","2"
"287","IPI00440577","26514","Hypothetical protein","3","132","33","2"
"228","IPI00479708","70775","Ig mu chain C region membrane-bound     segment","10","326","191","2"
"252","IPI00513767","23050","Prostaglandin D2 synthase   21kDa","6","271","194","2"
"301","IPI00550315","22344","Ig kappa chain C region","2","133","42","2"
